Age,Annual Income (LPA),Borrowed Amount (LPA),Credit Score,Loan Tenure (months),Employment Status,Existing Loans,Marital Status,Education Level,Predicted Repayment Probability (%),Loan Eligibility
61,12.97,12.85,761,71,-1,1,1,1,18.47,❌ Unlikely to Get Loan
40,13.47,8.82,573,100,1,0,1,0,11.39,❌ Unlikely to Get Loan
49,17.92,26.68,791,107,0,0,0,1,15.01,❌ Unlikely to Get Loan
32,16.35,8.86,580,14,1,1,0,1,13.57,❌ Unlikely to Get Loan
48,1.0,1.43,651,70,0,0,1,2,15.73,❌ Unlikely to Get Loan
60,22.36,13.38,664,194,1,0,1,1,15.06,❌ Unlikely to Get Loan
58,16.44,4.91,742,166,1,1,1,1,20.71,❌ Unlikely to Get Loan
48,4.06,3.98,542,201,1,1,1,1,6.48,❌ Unlikely to Get Loan
31,1.0,1.33,861,188,1,1,1,1,22.84,❌ Unlikely to Get Loan
29,2.32,3.31,671,198,0,2,1,1,11.86,❌ Unlikely to Get Loan
51,21.98,27.41,779,115,1,1,0,0,14.07,❌ Unlikely to Get Loan
44,11.11,7.29,576,201,-1,0,1,2,10.16,❌ Unlikely to Get Loan
58,18.3,21.69,646,197,0,0,1,2,8.97,❌ Unlikely to Get Loan
33,28.23,3.69,473,171,1,0,1,1,12.82,❌ Unlikely to Get Loan
42,2.76,1.0,783,125,0,0,0,0,21.58,❌ Unlikely to Get Loan
44,2.45,2.21,597,44,0,1,1,1,12.52,❌ Unlikely to Get Loan
40,11.86,5.9,583,125,0,0,1,1,12.59,❌ Unlikely to Get Loan
62,14.39,15.01,754,42,1,3,1,1,16.14,❌ Unlikely to Get Loan
32,18.13,19.28,386,49,1,2,1,2,-1.85,❌ Unlikely to Get Loan
57,4.57,4.4,677,82,0,2,1,1,14.47,❌ Unlikely to Get Loan
49,6.69,7.28,878,44,0,1,0,1,25.32,❌ Unlikely to Get Loan
57,23.05,12.34,599,115,1,2,0,1,12.19,❌ Unlikely to Get Loan
56,15.24,6.17,610,236,0,2,1,2,11.21,❌ Unlikely to Get Loan
60,14.51,1.67,792,39,0,2,1,1,25.63,❌ Unlikely to Get Loan
31,8.44,8.61,580,43,-1,0,1,2,11.8,❌ Unlikely to Get Loan
34,22.53,20.72,842,148,0,2,1,0,19.28,❌ Unlikely to Get Loan
50,20.49,11.59,809,200,1,0,0,1,22.36,❌ Unlikely to Get Loan
43,11.76,6.89,751,157,-1,0,1,1,19.85,❌ Unlikely to Get Loan
36,1.0,1.0,603,201,0,2,1,2,9.33,❌ Unlikely to Get Loan
51,19.52,11.36,690,27,1,1,1,2,18.83,❌ Unlikely to Get Loan
41,16.28,8.53,672,48,1,1,0,1,17.61,❌ Unlikely to Get Loan
41,12.73,18.6,708,192,0,2,1,2,9.99,❌ Unlikely to Get Loan
41,21.36,17.14,731,100,0,1,1,0,16.93,❌ Unlikely to Get Loan
59,15.64,14.31,646,172,0,0,1,1,11.93,❌ Unlikely to Get Loan
44,9.61,1.24,646,32,0,0,1,1,18.96,❌ Unlikely to Get Loan
37,20.01,25.18,772,69,1,0,1,1,16.23,❌ Unlikely to Get Loan
47,13.76,15.92,900,150,-1,1,1,2,22.9,❌ Unlikely to Get Loan
37,19.37,15.86,577,226,1,0,1,2,8.22,❌ Unlikely to Get Loan
58,13.13,15.6,775,203,-1,2,1,1,14.51,❌ Unlikely to Get Loan
29,16.49,5.43,752,224,0,1,0,1,19.97,❌ Unlikely to Get Loan
52,23.83,17.32,746,50,0,0,1,1,20.45,❌ Unlikely to Get Loan
60,23.18,10.1,723,150,0,0,0,2,20.92,❌ Unlikely to Get Loan
26,7.73,7.18,645,236,0,1,1,2,10.92,❌ Unlikely to Get Loan
38,19.43,18.87,714,191,1,2,1,0,11.93,❌ Unlikely to Get Loan
42,7.13,10.55,670,125,0,1,0,2,12.29,❌ Unlikely to Get Loan
65,18.36,2.33,755,107,0,1,1,1,24.4,❌ Unlikely to Get Loan
57,10.94,6.58,745,180,1,2,0,2,17.19,❌ Unlikely to Get Loan
49,1.0,1.43,458,152,1,2,1,1,2.54,❌ Unlikely to Get Loan
44,14.32,20.86,718,51,0,0,1,2,14.36,❌ Unlikely to Get Loan
51,20.4,18.32,723,106,1,1,1,1,15.66,❌ Unlikely to Get Loan
62,16.82,15.04,805,40,0,0,1,2,22.52,❌ Unlikely to Get Loan
22,5.09,3.53,700,223,0,1,1,1,14.59,❌ Unlikely to Get Loan
28,14.15,5.64,658,107,1,2,1,1,15.68,❌ Unlikely to Get Loan
26,10.94,2.24,793,199,0,0,0,2,23.31,❌ Unlikely to Get Loan
49,18.49,11.78,625,107,-1,1,1,1,13.47,❌ Unlikely to Get Loan
56,20.27,11.82,547,32,1,0,1,2,12.58,❌ Unlikely to Get Loan
43,1.64,1.44,762,134,0,0,1,1,20.04,❌ Unlikely to Get Loan
60,12.78,7.49,830,77,0,0,1,1,25.2,❌ Unlikely to Get Loan
53,4.78,3.36,664,76,-1,1,1,2,15.72,❌ Unlikely to Get Loan
36,13.59,12.87,625,149,1,1,0,2,10.6,❌ Unlikely to Get Loan
56,1.0,1.09,820,80,0,1,1,0,22.71,❌ Unlikely to Get Loan
48,11.51,1.36,751,89,1,0,0,2,23.78,❌ Unlikely to Get Loan
44,14.27,5.65,672,72,1,1,1,2,18.15,❌ Unlikely to Get Loan
63,1.0,1.0,725,230,0,0,1,1,16.37,❌ Unlikely to Get Loan
24,9.86,6.75,601,21,0,0,1,2,14.59,❌ Unlikely to Get Loan
33,1.0,1.0,732,170,1,2,1,1,16.03,❌ Unlikely to Get Loan
64,18.64,25.4,502,168,0,3,0,2,-2.13,❌ Unlikely to Get Loan
48,1.0,1.0,613,216,0,2,1,1,9.3,❌ Unlikely to Get Loan
50,9.17,11.6,683,45,0,1,0,1,14.35,❌ Unlikely to Get Loan
42,22.51,31.31,715,19,1,0,1,1,12.16,❌ Unlikely to Get Loan
51,3.63,1.4,660,182,-1,2,0,1,12.95,❌ Unlikely to Get Loan
27,6.13,4.87,797,151,1,2,0,1,19.39,❌ Unlikely to Get Loan
33,11.4,16.62,717,44,1,1,1,2,14.59,❌ Unlikely to Get Loan
59,12.42,15.52,652,91,0,0,1,2,12.29,❌ Unlikely to Get Loan
49,1.0,1.0,679,209,-1,1,1,1,13.67,❌ Unlikely to Get Loan
58,9.91,14.43,764,229,1,0,1,1,14.68,❌ Unlikely to Get Loan
48,17.55,2.32,738,187,1,0,0,1,22.65,❌ Unlikely to Get Loan
37,29.21,4.31,668,86,1,0,1,1,24.07,❌ Unlikely to Get Loan
44,5.91,5.92,845,164,0,0,1,1,22.83,❌ Unlikely to Get Loan
34,9.63,9.51,606,23,0,0,0,2,13.3,❌ Unlikely to Get Loan
27,15.25,19.18,851,33,0,1,0,1,21.28,❌ Unlikely to Get Loan
21,5.48,2.88,556,148,0,0,0,1,10.17,❌ Unlikely to Get Loan
25,23.85,18.53,575,178,1,1,0,1,8.06,❌ Unlikely to Get Loan
31,11.71,15.18,587,150,0,1,1,1,6.84,❌ Unlikely to Get Loan
41,13.76,15.93,819,98,-1,0,0,1,20.52,❌ Unlikely to Get Loan
48,16.29,11.32,641,141,1,1,0,1,12.96,❌ Unlikely to Get Loan
33,1.0,1.29,670,63,1,0,1,2,16.85,❌ Unlikely to Get Loan
56,14.2,11.01,560,173,1,0,0,0,8.47,❌ Unlikely to Get Loan
54,6.95,5.86,648,163,0,0,0,2,13.61,❌ Unlikely to Get Loan
51,5.03,4.63,675,61,0,0,1,0,16.43,❌ Unlikely to Get Loan
41,15.67,9.74,758,67,0,1,0,0,20.56,❌ Unlikely to Get Loan
27,21.03,10.55,734,105,0,0,1,1,21.27,❌ Unlikely to Get Loan
50,11.99,12.59,633,140,0,1,0,0,10.35,❌ Unlikely to Get Loan
62,24.29,7.77,564,169,1,1,0,2,13.23,❌ Unlikely to Get Loan
51,10.12,8.11,674,114,1,2,0,1,13.68,❌ Unlikely to Get Loan
46,1.0,1.0,880,31,1,1,1,1,26.83,❌ Unlikely to Get Loan
43,2.68,1.7,731,162,0,1,1,2,17.51,❌ Unlikely to Get Loan
65,24.2,18.06,588,125,0,1,1,1,10.04,❌ Unlikely to Get Loan
51,26.26,10.1,545,128,1,1,1,1,12.42,❌ Unlikely to Get Loan
53,14.9,11.7,600,178,0,0,1,0,10.37,❌ Unlikely to Get Loan
44,7.07,7.98,669,209,0,1,1,2,11.96,❌ Unlikely to Get Loan
30,9.55,4.09,820,124,0,2,0,2,22.83,❌ Unlikely to Get Loan
24,11.65,15.08,434,154,1,1,0,2,-0.66,❌ Unlikely to Get Loan
55,12.11,8.57,728,226,-1,1,0,2,15.95,❌ Unlikely to Get Loan
55,16.46,18.82,602,26,0,2,1,1,8.72,❌ Unlikely to Get Loan
30,14.75,15.52,769,80,1,1,0,0,17.69,❌ Unlikely to Get Loan
33,2.46,1.65,723,106,0,0,1,1,18.83,❌ Unlikely to Get Loan
47,2.98,3.68,900,82,-1,3,1,1,24.51,❌ Unlikely to Get Loan
39,16.35,2.32,713,66,-1,0,0,1,23.41,❌ Unlikely to Get Loan
54,8.8,4.09,859,42,0,3,1,1,24.89,❌ Unlikely to Get Loan
59,11.36,1.32,614,176,1,1,1,0,14.01,❌ Unlikely to Get Loan
64,12.13,14.68,670,166,0,3,1,1,9.12,❌ Unlikely to Get Loan
48,7.67,2.21,503,57,0,1,1,1,9.37,❌ Unlikely to Get Loan
52,13.06,8.79,715,55,0,0,1,2,19.61,❌ Unlikely to Get Loan
48,17.52,16.73,674,165,0,1,1,2,12.23,❌ Unlikely to Get Loan
40,10.96,15.98,740,74,0,1,1,1,15.16,❌ Unlikely to Get Loan
42,22.97,34.45,683,135,0,3,1,1,4.35,❌ Unlikely to Get Loan
46,24.5,32.29,841,189,1,1,1,1,14.5,❌ Unlikely to Get Loan
44,5.24,4.47,675,47,-1,1,1,1,16.22,❌ Unlikely to Get Loan
22,15.27,4.36,753,112,0,1,1,1,22.29,❌ Unlikely to Get Loan
23,10.09,6.11,862,103,0,2,0,1,24.29,❌ Unlikely to Get Loan
36,5.9,7.74,876,46,1,1,1,2,24.93,❌ Unlikely to Get Loan
60,11.7,16.85,739,206,1,1,1,2,12.58,❌ Unlikely to Get Loan
47,1.0,1.02,714,94,0,0,1,2,18.61,❌ Unlikely to Get Loan
36,18.22,22.38,741,157,0,1,0,1,12.93,❌ Unlikely to Get Loan
29,18.94,23.07,862,169,0,1,1,0,18.45,❌ Unlikely to Get Loan
52,13.84,20.04,709,230,0,1,1,0,9.45,❌ Unlikely to Get Loan
39,19.73,24.31,715,156,0,1,1,2,11.48,❌ Unlikely to Get Loan
38,6.41,3.9,616,151,0,3,1,1,10.16,❌ Unlikely to Get Loan
41,1.0,1.0,622,44,0,1,0,1,13.83,❌ Unlikely to Get Loan
23,8.15,3.61,757,43,0,0,0,2,22.83,❌ Unlikely to Get Loan
44,2.26,1.0,609,117,1,2,1,0,11.1,❌ Unlikely to Get Loan
48,12.08,7.18,732,70,-1,0,1,1,20.48,❌ Unlikely to Get Loan
41,23.52,24.52,671,54,0,0,1,1,13.06,❌ Unlikely to Get Loan
24,14.36,13.38,636,26,0,1,0,1,13.31,❌ Unlikely to Get Loan
21,9.94,11.46,615,206,1,1,1,0,8.16,❌ Unlikely to Get Loan
47,20.89,28.25,900,126,-1,0,1,2,20.61,❌ Unlikely to Get Loan
38,25.54,4.36,754,189,0,1,0,2,24.47,❌ Unlikely to Get Loan
57,15.55,6.98,562,102,0,1,0,1,11.69,❌ Unlikely to Get Loan
40,6.82,8.13,900,197,1,0,0,1,24.06,❌ Unlikely to Get Loan
50,12.99,18.09,714,148,1,0,1,1,12.97,❌ Unlikely to Get Loan
54,13.25,18.69,628,178,0,0,0,0,7.73,❌ Unlikely to Get Loan
25,10.49,3.76,679,148,0,2,0,0,15.45,❌ Unlikely to Get Loan
37,22.31,5.41,860,137,0,0,0,2,30.01,❌ Unlikely to Get Loan
40,18.76,26.34,628,210,1,2,0,2,3.82,❌ Unlikely to Get Loan
58,2.77,1.0,658,139,1,2,1,0,13.25,❌ Unlikely to Get Loan
37,1.89,1.94,756,197,0,0,1,1,18.43,❌ Unlikely to Get Loan
32,7.73,5.09,676,131,1,2,0,2,14.4,❌ Unlikely to Get Loan
51,4.05,1.98,837,48,0,1,1,2,25.19,❌ Unlikely to Get Loan
40,8.26,3.99,623,145,1,0,0,1,13.82,❌ Unlikely to Get Loan
31,11.99,7.22,631,142,1,2,1,1,12.19,❌ Unlikely to Get Loan
51,10.57,6.42,663,234,0,1,1,1,12.9,❌ Unlikely to Get Loan
44,13.37,16.6,673,152,1,2,0,1,9.87,❌ Unlikely to Get Loan
46,9.33,7.88,734,93,1,2,1,1,16.95,❌ Unlikely to Get Loan
60,1.0,1.42,680,13,0,3,1,1,15.25,❌ Unlikely to Get Loan
35,4.27,4.25,628,103,0,0,0,1,13.46,❌ Unlikely to Get Loan
31,3.56,2.39,750,150,-1,1,1,1,18.5,❌ Unlikely to Get Loan
48,5.65,4.78,621,120,0,0,1,2,13.23,❌ Unlikely to Get Loan
61,15.25,21.58,784,80,1,1,1,1,15.81,❌ Unlikely to Get Loan
55,8.82,11.19,507,220,0,2,1,1,1.58,❌ Unlikely to Get Loan
63,4.56,6.36,724,22,-1,1,1,1,17.91,❌ Unlikely to Get Loan
61,11.28,12.3,693,48,0,1,1,1,15.18,❌ Unlikely to Get Loan
58,14.33,14.12,738,129,0,0,1,2,17.17,❌ Unlikely to Get Loan
32,14.06,6.24,750,177,1,1,0,1,19.47,❌ Unlikely to Get Loan
53,31.25,18.57,703,182,0,1,0,2,16.99,❌ Unlikely to Get Loan
36,7.25,1.31,900,212,1,1,1,0,26.2,❌ Unlikely to Get Loan
33,15.0,13.59,764,14,0,2,1,1,19.1,❌ Unlikely to Get Loan
41,20.54,20.45,883,154,1,0,1,0,22.41,❌ Unlikely to Get Loan
38,24.52,28.22,729,68,0,2,0,1,12.32,❌ Unlikely to Get Loan
34,9.99,12.97,639,54,0,2,0,2,10.96,❌ Unlikely to Get Loan
39,1.0,1.0,492,161,1,1,0,0,4.94,❌ Unlikely to Get Loan
28,9.54,3.32,737,181,1,0,0,1,19.59,❌ Unlikely to Get Loan
50,14.84,3.92,764,90,0,1,1,1,23.24,❌ Unlikely to Get Loan
32,33.15,28.51,574,206,0,1,0,1,5.76,❌ Unlikely to Get Loan
31,1.0,1.0,704,147,0,1,0,1,16.0,❌ Unlikely to Get Loan
25,11.56,4.34,559,64,1,1,0,2,12.44,❌ Unlikely to Get Loan
48,6.57,5.78,783,217,0,2,1,1,17.22,❌ Unlikely to Get Loan
58,19.32,18.2,767,226,1,0,1,1,16.19,❌ Unlikely to Get Loan
29,7.06,2.09,516,209,-1,4,0,1,4.35,❌ Unlikely to Get Loan
54,1.0,1.0,553,27,1,1,1,0,10.46,❌ Unlikely to Get Loan
25,1.0,1.0,494,185,1,1,0,1,4.84,❌ Unlikely to Get Loan
31,14.07,16.93,736,93,0,0,1,1,16.13,❌ Unlikely to Get Loan
44,12.63,11.64,738,52,0,1,1,1,18.15,❌ Unlikely to Get Loan
42,16.17,15.13,787,180,1,0,1,1,18.53,❌ Unlikely to Get Loan
36,13.08,14.43,590,207,0,2,1,0,5.61,❌ Unlikely to Get Loan
60,14.45,5.8,654,194,0,1,1,0,14.56,❌ Unlikely to Get Loan
22,15.7,5.68,622,161,0,1,0,2,14.55,❌ Unlikely to Get Loan
41,5.34,2.87,608,201,0,1,1,1,10.8,❌ Unlikely to Get Loan
21,12.0,10.94,605,103,0,1,0,1,10.76,❌ Unlikely to Get Loan
46,16.07,20.16,571,12,1,1,1,1,7.54,❌ Unlikely to Get Loan
29,4.37,6.49,738,153,1,1,1,2,16.22,❌ Unlikely to Get Loan
60,1.0,1.25,845,146,1,2,1,1,21.88,❌ Unlikely to Get Loan
65,14.78,11.67,788,165,0,2,0,2,18.43,❌ Unlikely to Get Loan
65,10.53,9.54,659,132,-1,0,1,2,14.21,❌ Unlikely to Get Loan
40,22.71,11.28,689,97,1,1,1,1,18.39,❌ Unlikely to Get Loan
27,17.27,7.12,739,22,0,1,0,1,22.53,❌ Unlikely to Get Loan
51,9.46,2.83,715,209,0,1,1,1,17.32,❌ Unlikely to Get Loan
59,1.19,1.0,609,47,1,2,1,2,12.44,❌ Unlikely to Get Loan
29,22.77,7.9,744,217,-1,2,1,2,20.01,❌ Unlikely to Get Loan
33,18.25,3.2,751,130,0,1,1,2,23.61,❌ Unlikely to Get Loan
25,22.3,7.85,605,182,0,1,1,0,14.07,❌ Unlikely to Get Loan
47,19.71,12.61,712,177,1,0,0,2,17.45,❌ Unlikely to Get Loan
39,2.25,1.0,677,127,1,1,1,2,15.64,❌ Unlikely to Get Loan
62,15.69,6.41,747,98,1,0,0,1,22.09,❌ Unlikely to Get Loan
62,19.63,8.75,634,233,1,1,1,1,13.29,❌ Unlikely to Get Loan
35,12.89,17.26,892,152,0,3,1,2,19.66,❌ Unlikely to Get Loan
39,9.41,2.03,560,41,0,2,0,1,12.22,❌ Unlikely to Get Loan
49,8.28,4.56,881,27,1,1,1,1,27.64,❌ Unlikely to Get Loan
48,5.89,3.84,616,117,1,0,1,1,13.3,❌ Unlikely to Get Loan
34,11.15,5.5,755,51,1,0,1,1,22.4,❌ Unlikely to Get Loan
34,1.98,1.25,591,54,0,1,1,1,12.38,❌ Unlikely to Get Loan
35,1.0,1.0,624,30,0,0,0,1,15.12,❌ Unlikely to Get Loan
39,7.6,2.25,610,213,0,2,1,0,10.61,❌ Unlikely to Get Loan
36,7.32,4.42,648,106,0,0,0,1,15.33,❌ Unlikely to Get Loan
55,29.9,8.77,604,148,0,0,1,2,18.03,❌ Unlikely to Get Loan
56,22.91,25.72,900,17,0,2,1,1,22.43,❌ Unlikely to Get Loan
53,10.37,13.56,802,220,-1,0,1,1,17.44,❌ Unlikely to Get Loan
59,11.76,10.31,671,95,-1,1,1,1,14.41,❌ Unlikely to Get Loan
57,20.41,3.74,799,227,-1,0,1,0,25.11,❌ Unlikely to Get Loan
40,11.89,8.59,900,103,-1,1,1,0,26.32,❌ Unlikely to Get Loan
44,10.49,7.21,805,159,0,1,1,1,20.93,❌ Unlikely to Get Loan
59,9.97,12.14,851,175,0,1,1,2,20.5,❌ Unlikely to Get Loan
45,10.84,1.94,825,190,-1,0,0,1,24.97,❌ Unlikely to Get Loan
54,3.06,4.47,845,192,0,2,1,1,20.21,❌ Unlikely to Get Loan
30,21.18,8.44,798,148,-1,0,0,1,24.73,❌ Unlikely to Get Loan
44,9.9,12.36,596,99,-1,0,0,2,10.12,❌ Unlikely to Get Loan
37,22.07,26.67,853,164,-1,0,0,2,18.72,❌ Unlikely to Get Loan
62,20.64,24.23,705,216,0,2,1,2,9.24,❌ Unlikely to Get Loan
62,15.76,4.41,732,172,1,0,0,1,20.97,❌ Unlikely to Get Loan
61,21.87,4.72,493,136,-1,0,1,1,11.87,❌ Unlikely to Get Loan
34,10.34,7.51,623,227,1,2,0,2,9.68,❌ Unlikely to Get Loan
36,7.55,8.57,824,211,-1,0,1,2,20.46,❌ Unlikely to Get Loan
46,6.82,7.19,799,70,0,2,1,0,19.93,❌ Unlikely to Get Loan
61,12.57,14.91,780,200,1,0,1,1,16.66,❌ Unlikely to Get Loan
51,17.58,4.68,556,116,0,0,0,1,13.86,❌ Unlikely to Get Loan
21,15.07,10.51,723,69,0,1,0,1,18.48,❌ Unlikely to Get Loan
27,27.34,20.49,695,180,0,2,1,1,13.36,❌ Unlikely to Get Loan
51,16.05,7.06,772,115,0,0,1,2,23.17,❌ Unlikely to Get Loan
47,7.6,6.89,686,171,0,0,0,2,15.08,❌ Unlikely to Get Loan
24,13.29,2.09,623,181,1,2,0,0,13.77,❌ Unlikely to Get Loan
45,19.21,22.78,637,84,0,1,1,1,9.3,❌ Unlikely to Get Loan
61,8.21,3.3,445,79,0,2,1,1,4.78,❌ Unlikely to Get Loan
50,6.94,7.9,672,198,0,2,1,1,11.16,❌ Unlikely to Get Loan
22,21.18,4.3,683,183,0,0,1,2,20.64,❌ Unlikely to Get Loan
38,18.2,14.49,560,17,0,0,0,0,11.12,❌ Unlikely to Get Loan
59,12.3,5.05,649,231,0,0,1,2,14.62,❌ Unlikely to Get Loan
64,7.87,5.09,900,185,0,3,1,2,23.65,❌ Unlikely to Get Loan
44,9.7,12.99,618,216,0,0,0,1,8.38,❌ Unlikely to Get Loan
49,14.38,10.44,801,22,-1,0,0,1,23.92,❌ Unlikely to Get Loan
61,17.86,8.6,703,116,0,0,1,1,19.34,❌ Unlikely to Get Loan
36,20.29,10.65,721,222,0,0,1,1,18.13,❌ Unlikely to Get Loan
51,13.4,13.25,789,73,1,0,1,1,20.59,❌ Unlikely to Get Loan
48,2.35,2.66,465,178,0,0,0,1,4.09,❌ Unlikely to Get Loan
64,23.58,3.71,757,170,1,3,1,1,22.51,❌ Unlikely to Get Loan
63,21.46,17.11,598,74,0,4,0,1,8.25,❌ Unlikely to Get Loan
55,19.81,13.65,768,206,0,2,0,1,17.2,❌ Unlikely to Get Loan
36,22.95,14.74,737,139,1,1,1,2,18.6,❌ Unlikely to Get Loan
43,18.58,12.49,531,213,0,3,1,1,4.65,❌ Unlikely to Get Loan
34,12.93,14.1,854,91,0,0,1,1,23.0,❌ Unlikely to Get Loan
53,3.23,4.84,773,168,0,1,1,2,18.1,❌ Unlikely to Get Loan
62,5.78,8.47,713,181,1,2,1,1,12.75,❌ Unlikely to Get Loan
30,8.91,9.7,900,41,1,2,1,2,25.36,❌ Unlikely to Get Loan
31,18.23,8.01,620,214,-1,1,0,1,12.99,❌ Unlikely to Get Loan
25,24.71,2.71,679,29,-1,1,1,2,24.41,❌ Unlikely to Get Loan
41,23.08,27.41,806,132,1,2,1,1,14.84,❌ Unlikely to Get Loan
48,8.37,6.47,789,77,1,0,1,1,22.16,❌ Unlikely to Get Loan
24,10.98,5.4,750,199,0,4,0,0,15.56,❌ Unlikely to Get Loan
28,1.19,1.0,613,137,0,0,0,1,12.66,❌ Unlikely to Get Loan
60,25.34,29.0,735,127,-1,0,0,0,13.03,❌ Unlikely to Get Loan
50,1.0,1.0,900,236,1,2,1,1,23.07,❌ Unlikely to Get Loan
53,10.61,8.63,817,122,0,1,1,1,21.54,❌ Unlikely to Get Loan
65,23.08,14.57,772,24,-1,1,1,2,22.65,❌ Unlikely to Get Loan
60,15.14,5.9,900,112,-1,1,1,1,28.73,❌ Unlikely to Get Loan
63,16.53,22.35,813,120,1,2,0,1,15.59,❌ Unlikely to Get Loan
52,13.98,15.53,761,40,0,0,1,1,18.95,❌ Unlikely to Get Loan
55,1.0,1.16,672,89,1,1,1,2,15.56,❌ Unlikely to Get Loan
53,15.57,16.49,653,210,1,1,1,2,9.74,❌ Unlikely to Get Loan
57,16.94,9.0,580,207,1,1,1,1,10.08,❌ Unlikely to Get Loan
38,7.5,1.06,692,94,0,2,1,1,17.66,❌ Unlikely to Get Loan
62,17.97,16.83,643,230,0,0,0,1,10.2,❌ Unlikely to Get Loan
57,8.3,4.67,684,108,0,0,1,2,17.5,❌ Unlikely to Get Loan
38,23.0,11.18,725,61,-1,1,1,1,21.12,❌ Unlikely to Get Loan
49,11.66,12.23,644,15,0,3,0,1,11.68,❌ Unlikely to Get Loan
29,16.53,9.86,794,232,-1,1,0,2,20.02,❌ Unlikely to Get Loan
23,14.38,21.07,681,167,-1,2,0,1,8.3,❌ Unlikely to Get Loan
52,17.78,24.33,652,169,1,0,0,1,8.01,❌ Unlikely to Get Loan
32,12.87,2.1,774,36,0,0,1,1,25.93,❌ Unlikely to Get Loan
51,17.74,4.36,710,121,1,2,1,1,19.77,❌ Unlikely to Get Loan
53,17.67,15.44,590,117,1,0,1,1,10.27,❌ Unlikely to Get Loan
21,2.22,1.0,550,30,0,1,1,1,11.03,❌ Unlikely to Get Loan
52,17.23,12.47,660,232,1,2,0,1,11.03,❌ Unlikely to Get Loan
53,8.37,5.58,860,210,0,1,1,2,22.99,❌ Unlikely to Get Loan
44,10.74,10.91,750,191,1,0,1,1,16.73,❌ Unlikely to Get Loan
21,10.0,7.17,761,121,1,1,0,2,19.48,❌ Unlikely to Get Loan
55,8.76,2.72,679,218,1,1,1,1,15.12,❌ Unlikely to Get Loan
50,23.15,8.12,736,121,-1,1,1,2,22.28,❌ Unlikely to Get Loan
42,1.01,1.0,782,177,0,2,1,1,18.41,❌ Unlikely to Get Loan
32,1.0,1.0,683,155,1,1,1,1,14.79,❌ Unlikely to Get Loan
54,7.53,9.62,560,158,0,1,1,1,6.61,❌ Unlikely to Get Loan
30,10.48,15.72,620,157,0,1,0,2,7.84,❌ Unlikely to Get Loan
47,5.53,6.66,620,222,0,0,1,1,10.11,❌ Unlikely to Get Loan
24,4.4,2.48,900,216,-1,1,0,2,25.13,❌ Unlikely to Get Loan
58,17.55,13.17,731,202,1,1,1,1,15.81,❌ Unlikely to Get Loan
60,12.9,9.46,675,114,1,1,1,2,15.15,❌ Unlikely to Get Loan
34,32.2,40.0,565,121,0,1,1,1,0.99,❌ Unlikely to Get Loan
50,5.69,5.35,781,28,0,2,1,2,20.77,❌ Unlikely to Get Loan
65,15.07,16.6,746,83,0,0,1,1,17.22,❌ Unlikely to Get Loan
24,16.45,8.89,713,76,1,1,0,1,19.04,❌ Unlikely to Get Loan
21,9.69,1.58,745,24,0,1,0,1,22.98,❌ Unlikely to Get Loan
65,3.42,1.4,585,186,0,3,1,2,8.34,❌ Unlikely to Get Loan
50,11.24,3.44,699,167,1,0,1,2,18.69,❌ Unlikely to Get Loan
49,16.43,12.06,710,93,1,0,1,0,17.69,❌ Unlikely to Get Loan
24,6.68,5.88,777,61,1,1,0,1,20.69,❌ Unlikely to Get Loan
