Age,Annual Income (LPA),Borrowed Amount (LPA),Credit Score,Loan Tenure (months),Employment Status,Existing Loans,Marital Status,Education Level,Repayment Probability
48,22.67,19.08,852,167,Salaried,1,Married,Graduate,0.223
27,31.98,15.44,620,23,Salaried,2,Married,Graduate,0.077
64,12.37,15.02,662,27,Salaried,3,Married,Post-Graduate,0.248
28,6.87,1.0,627,236,Unemployed,1,Married,Graduate,0.126
55,34.59,40.0,625,174,Salaried,1,Married,Graduate,0.08
34,1.45,2.08,702,55,Self-Employed,0,Single,Graduate,0.195
37,12.16,13.41,689,79,Salaried,1,Married,Graduate,0.153
56,13.44,15.15,654,149,Salaried,3,Married,Post-Graduate,0.047
60,22.76,32.02,671,237,Salaried,0,Single,Graduate,0.176
24,14.88,5.84,628,14,Self-Employed,2,Single,Post-Graduate,0.135
22,8.01,11.95,740,42,Unemployed,1,Single,Graduate,0.139
26,4.39,5.19,900,191,Salaried,0,Single,Post-Graduate,0.232
62,9.27,10.36,612,234,Salaried,1,Married,Graduate,0.067
24,3.94,2.39,739,127,Salaried,0,Single,Post-Graduate,0.188
49,12.38,10.7,704,204,Salaried,3,Single,Graduate,0.12
38,7.49,7.61,766,16,Self-Employed,2,Married,Post-Graduate,0.161
46,1.0,1.0,769,16,Salaried,0,Single,Graduate,0.247
64,22.04,23.96,720,77,Salaried,0,Married,Graduate,0.197
54,8.02,1.73,696,26,Unemployed,1,Married,Graduate,0.146
30,1.85,1.11,656,204,Salaried,1,Married,Graduate,0.237
56,10.65,7.54,623,160,Self-Employed,0,Married,Graduate,0.021
34,12.55,5.83,690,112,Self-Employed,2,Married,Graduate,0.159
51,1.0,1.0,571,210,Salaried,0,Single,Graduate,0.068
35,14.65,4.31,640,22,Salaried,2,Married,Graduate,0.197
28,3.62,2.22,810,229,Salaried,1,Married,Post-Graduate,0.195
34,25.69,20.32,709,53,Unemployed,0,Married,Graduate,0.129
43,16.19,3.05,789,77,Self-Employed,2,Married,Post-Graduate,0.269
60,8.8,12.54,846,105,Salaried,0,Married,Graduate,0.252
41,6.04,7.07,682,72,Self-Employed,0,Married,Graduate,0.165
36,11.16,12.53,720,71,Self-Employed,1,Married,Post-Graduate,0.138
65,16.9,5.78,669,153,Salaried,1,Single,Graduate,0.261
38,11.8,11.15,618,131,Salaried,0,Married,Graduate,0.24
44,10.26,8.63,604,144,Self-Employed,1,Married,Graduate,0.05
46,12.47,18.4,784,42,Salaried,3,Single,Graduate,0.23
45,7.17,8.22,720,59,Self-Employed,1,Married,High School,0.23
65,9.25,8.38,884,43,Self-Employed,2,Married,Post-Graduate,0.304
61,1.0,1.29,797,68,Salaried,1,Married,Graduate,0.135
49,19.79,6.28,626,173,Self-Employed,0,Single,Graduate,0.169
35,14.39,1.75,784,213,Salaried,0,Married,High School,0.322
65,5.81,6.2,669,106,Self-Employed,0,Single,Graduate,0.088
21,27.19,6.46,821,166,Salaried,3,Single,High School,0.279
45,12.7,3.32,651,93,Self-Employed,0,Single,High School,0.146
27,3.71,4.24,594,16,Self-Employed,0,Married,Post-Graduate,0.214
29,18.85,9.02,620,28,Salaried,3,Married,Graduate,0.234
44,15.18,14.88,625,214,Salaried,2,Married,Post-Graduate,0.119
21,15.16,20.99,615,208,Salaried,0,Single,Graduate,0.061
64,8.59,4.66,642,128,Salaried,1,Single,Graduate,0.134
28,15.6,6.3,785,195,Salaried,1,Single,High School,0.205
44,9.91,2.47,879,177,Unemployed,0,Married,Graduate,0.264
31,16.45,4.65,566,134,Self-Employed,2,Married,Graduate,0.113
37,1.0,1.0,826,193,Salaried,2,Single,Graduate,0.253
28,8.53,1.9,652,59,Self-Employed,1,Married,Graduate,0.139
55,25.78,18.17,734,240,Salaried,2,Single,Post-Graduate,0.191
55,5.86,3.22,534,224,Self-Employed,3,Single,Graduate,0.203
53,7.17,7.81,752,227,Salaried,0,Single,Graduate,0.18
25,8.42,11.1,499,233,Salaried,0,Single,Graduate,0.062
62,2.28,2.73,731,219,Salaried,1,Single,Post-Graduate,0.069
59,1.0,1.0,725,60,Unemployed,2,Single,Graduate,0.202
61,10.16,2.47,719,180,Salaried,0,Single,Graduate,0.183
48,13.09,14.32,626,33,Salaried,0,Married,Post-Graduate,0.194
27,11.58,7.04,754,196,Salaried,0,Single,Graduate,0.273
29,10.84,2.38,739,205,Salaried,1,Single,Post-Graduate,0.21
28,12.34,15.79,679,30,Salaried,3,Single,Graduate,0.082
32,20.18,11.57,767,124,Self-Employed,1,Single,Graduate,0.174
54,10.48,4.25,690,112,Salaried,3,Married,Graduate,0.067
53,7.41,9.78,752,141,Salaried,0,Married,Post-Graduate,0.153
43,9.75,13.29,687,214,Salaried,2,Married,High School,0.069
44,16.63,9.55,721,44,Salaried,1,Single,Post-Graduate,0.271
57,23.3,13.9,757,212,Salaried,1,Single,Graduate,0.259
55,6.97,6.35,660,198,Salaried,0,Married,Post-Graduate,0.239
64,12.79,14.41,576,100,Salaried,0,Married,Graduate,0.053
60,14.71,2.77,727,145,Salaried,0,Single,Graduate,0.186
42,4.06,3.78,818,22,Salaried,1,Single,Graduate,0.192
47,12.16,17.44,729,38,Salaried,2,Married,Post-Graduate,0.231
55,1.0,1.0,731,211,Salaried,0,Married,Graduate,0.212
21,1.0,1.37,695,184,Self-Employed,2,Single,Post-Graduate,0.227
55,14.93,21.35,773,42,Self-Employed,0,Married,Graduate,0.195
57,8.93,4.26,681,102,Salaried,1,Married,Graduate,0.238
34,13.62,15.74,654,202,Salaried,1,Married,Graduate,0.079
23,11.86,5.15,810,183,Salaried,1,Single,Graduate,0.23
21,4.19,4.75,646,180,Unemployed,0,Single,Graduate,0.093
25,11.64,14.16,788,58,Salaried,0,Single,Post-Graduate,0.207
46,2.14,1.0,810,208,Salaried,1,Single,Graduate,0.171
34,23.13,25.49,756,90,Salaried,0,Married,Post-Graduate,0.2
59,1.15,1.42,575,13,Salaried,1,Married,Graduate,0.126
47,10.43,6.28,702,154,Salaried,0,Married,Post-Graduate,0.196
29,3.66,1.23,679,234,Self-Employed,0,Single,Graduate,0.213
35,16.56,3.79,650,31,Salaried,1,Married,Graduate,0.202
35,9.35,8.47,714,142,Salaried,1,Married,Graduate,0.146
46,7.85,11.53,776,117,Unemployed,0,Married,Post-Graduate,0.136
62,18.83,23.58,654,50,Salaried,0,Single,Graduate,0.089
33,12.24,8.69,682,85,Salaried,1,Married,Graduate,0.116
52,16.13,13.73,675,101,Salaried,2,Married,Graduate,0.198
59,4.15,2.04,816,149,Salaried,1,Single,Post-Graduate,0.229
52,1.0,1.0,674,179,Self-Employed,0,Married,Graduate,0.208
24,12.86,9.97,576,152,Salaried,0,Single,Post-Graduate,0.106
50,9.45,7.08,542,224,Self-Employed,1,Married,Graduate,0.109
57,17.01,14.13,736,237,Self-Employed,1,Single,Graduate,0.156
43,11.36,16.29,623,55,Salaried,1,Married,Graduate,0.092
59,13.64,12.9,766,43,Salaried,0,Married,Post-Graduate,0.264
65,1.0,1.0,566,212,Salaried,1,Married,Graduate,0.07
35,27.11,7.57,646,41,Self-Employed,0,Married,High School,0.228
63,10.69,15.98,566,140,Salaried,1,Single,Post-Graduate,0.109
49,17.58,20.78,743,64,Salaried,1,Married,Graduate,0.058
56,5.31,7.05,764,87,Self-Employed,0,Single,Graduate,0.197
33,14.46,9.83,733,55,Salaried,0,Married,Graduate,0.304
52,1.58,1.27,591,46,Salaried,1,Single,Post-Graduate,0.206
27,15.62,12.98,625,227,Salaried,0,Married,High School,0.138
42,9.15,3.4,723,179,Salaried,1,Single,Post-Graduate,0.147
48,12.23,13.03,531,56,Salaried,2,Single,Graduate,0.119
22,17.58,23.98,675,199,Self-Employed,1,Single,Graduate,0.036
62,2.14,1.0,851,135,Salaried,0,Married,Graduate,0.28
65,6.52,1.44,682,127,Salaried,0,Single,Post-Graduate,0.226
26,15.66,17.75,551,135,Salaried,0,Single,Graduate,0.152
48,28.79,13.89,639,202,Self-Employed,0,Single,Graduate,0.191
48,10.9,10.61,636,149,Self-Employed,1,Single,Graduate,0.139
64,16.73,17.97,900,58,Salaried,0,Married,Graduate,0.248
64,11.14,6.13,866,163,Salaried,0,Married,Graduate,0.214
40,27.54,34.18,773,196,Self-Employed,0,Single,Graduate,0.075
50,1.0,1.0,665,29,Salaried,0,Single,Graduate,0.176
31,12.76,16.8,820,196,Salaried,2,Married,Graduate,0.213
48,1.0,1.17,586,83,Salaried,1,Married,Post-Graduate,0.02
45,1.0,1.32,807,134,Salaried,1,Single,High School,0.247
59,14.38,1.84,792,185,Salaried,0,Single,Graduate,0.319
53,13.12,5.78,684,182,Self-Employed,3,Single,Graduate,0.136
21,9.72,2.2,813,88,Salaried,0,Married,High School,0.098
47,11.15,8.02,655,155,Salaried,1,Married,High School,0.109
33,36.79,40.0,573,153,Salaried,0,Married,Post-Graduate,0.012
61,9.93,7.49,797,20,Salaried,2,Single,Graduate,0.206
23,16.08,20.74,691,212,Salaried,1,Married,Graduate,0.021
59,6.81,3.8,760,80,Salaried,0,Married,Graduate,0.201
26,14.36,8.26,882,72,Salaried,3,Single,Post-Graduate,0.318
28,10.09,13.66,627,22,Salaried,2,Single,Post-Graduate,0.004
47,8.72,6.07,685,158,Salaried,0,Single,Graduate,0.151
29,26.55,32.01,856,75,Unemployed,1,Single,Post-Graduate,0.171
57,21.42,9.24,766,49,Salaried,0,Single,Post-Graduate,0.266
53,13.09,18.7,630,21,Self-Employed,1,Married,Graduate,0.15
62,1.0,1.0,604,27,Salaried,0,Married,Graduate,0.141
64,9.11,10.6,647,232,Salaried,1,Married,Post-Graduate,0.177
44,33.62,7.58,626,80,Salaried,3,Married,Post-Graduate,0.159
35,10.15,8.02,723,221,Salaried,0,Married,High School,0.249
52,20.83,28.36,707,53,Salaried,2,Single,Post-Graduate,0.091
52,23.54,31.26,727,55,Salaried,0,Married,Post-Graduate,0.071
44,13.75,2.28,615,192,Salaried,1,Single,Post-Graduate,0.074
61,5.27,2.77,692,174,Salaried,0,Married,Graduate,0.198
32,1.0,1.0,494,175,Self-Employed,2,Married,Graduate,0.002
59,17.47,5.96,714,161,Salaried,0,Married,Graduate,0.222
22,5.48,6.15,817,35,Salaried,2,Single,Graduate,0.257
23,13.41,4.81,557,215,Self-Employed,0,Single,Post-Graduate,0.059
57,2.0,1.17,748,151,Salaried,1,Single,Graduate,0.215
37,9.88,10.16,638,46,Self-Employed,1,Married,Graduate,0.066
22,12.27,9.51,780,61,Unemployed,1,Single,Graduate,0.163
22,14.15,16.05,715,94,Salaried,0,Single,Graduate,0.189
48,3.08,4.45,740,240,Salaried,1,Single,Graduate,0.183
43,21.58,5.68,706,89,Unemployed,1,Single,Graduate,0.218
57,7.22,7.89,832,226,Salaried,2,Single,Post-Graduate,0.16
52,1.0,1.0,734,51,Salaried,0,Married,Post-Graduate,0.209
53,11.13,7.57,629,33,Salaried,1,Married,Graduate,0.172
21,12.28,1.79,709,186,Salaried,3,Married,Graduate,0.144
39,13.28,3.85,663,86,Unemployed,0,Married,Post-Graduate,0.15
22,22.9,12.54,716,77,Salaried,1,Single,Post-Graduate,0.194
64,10.11,5.85,658,149,Salaried,0,Married,Post-Graduate,0.221
46,11.04,15.01,632,182,Salaried,3,Married,Graduate,0.015
52,3.17,3.61,719,208,Salaried,1,Married,Graduate,0.176
26,18.56,27.12,705,105,Salaried,1,Single,Post-Graduate,0.173
52,13.47,12.64,806,224,Unemployed,0,Single,Graduate,0.165
24,8.64,3.79,658,236,Self-Employed,3,Married,Graduate,0.186
31,1.0,1.0,501,164,Salaried,2,Married,Post-Graduate,0.0
37,23.56,12.91,663,121,Salaried,0,Single,Graduate,0.126
58,2.18,1.21,537,58,Salaried,0,Married,Post-Graduate,0.156
44,7.27,7.58,741,146,Salaried,1,Single,Graduate,0.1
25,14.87,12.54,532,115,Salaried,1,Married,Graduate,0.112
54,2.43,1.55,601,167,Self-Employed,2,Married,Graduate,0.115
26,1.0,1.0,663,91,Salaried,0,Single,Graduate,0.215
42,1.0,1.0,854,56,Self-Employed,2,Single,Graduate,0.174
31,17.77,7.22,592,112,Salaried,0,Married,Post-Graduate,0.181
36,7.64,1.91,701,206,Unemployed,1,Married,Graduate,0.15
53,35.42,40.0,757,222,Salaried,1,Married,Post-Graduate,0.144
29,4.05,1.04,848,23,Self-Employed,2,Single,Graduate,0.225
26,4.63,5.16,777,94,Self-Employed,1,Married,High School,0.176
36,7.48,4.79,809,124,Unemployed,3,Married,Graduate,0.252
49,13.95,2.83,786,22,Self-Employed,1,Married,Post-Graduate,0.273
23,8.24,10.2,579,142,Self-Employed,0,Single,Graduate,0.12
40,16.9,15.4,735,72,Salaried,0,Married,Post-Graduate,0.203
56,4.17,1.79,784,205,Salaried,2,Married,High School,0.242
39,1.0,1.35,604,67,Salaried,2,Married,Graduate,0.09
46,1.0,1.0,642,133,Salaried,3,Single,Post-Graduate,0.069
23,1.0,1.0,619,37,Self-Employed,0,Married,Graduate,0.11
39,7.86,9.06,777,97,Salaried,2,Single,High School,0.085
40,9.59,10.48,693,220,Salaried,1,Married,Graduate,0.128
52,6.95,3.51,667,45,Salaried,2,Married,Post-Graduate,0.14
27,21.95,4.1,571,194,Salaried,2,Single,Graduate,0.12
61,21.82,28.39,693,218,Salaried,1,Married,Graduate,0.0
53,9.32,5.03,643,215,Salaried,1,Married,Graduate,0.13
60,1.0,1.0,724,155,Salaried,2,Married,Graduate,0.141
59,7.47,6.14,585,219,Salaried,3,Married,Graduate,0.106
38,7.2,9.9,717,178,Salaried,2,Married,Graduate,0.131
60,6.74,1.08,656,145,Unemployed,1,Married,Post-Graduate,0.141
21,6.42,7.53,575,121,Unemployed,0,Single,Post-Graduate,0.124
31,6.77,6.1,567,83,Salaried,2,Married,Graduate,0.073
48,8.91,6.2,582,191,Salaried,0,Married,Graduate,0.129
45,6.92,7.9,679,164,Salaried,0,Married,Graduate,0.172
43,13.67,19.85,712,67,Unemployed,0,Single,Post-Graduate,0.125
51,14.88,6.26,726,94,Salaried,1,Married,Graduate,0.187
50,4.71,1.42,730,158,Self-Employed,1,Single,Graduate,0.252
62,22.17,30.55,624,215,Self-Employed,0,Married,Graduate,0.034
55,4.16,4.31,805,212,Unemployed,0,Married,Graduate,0.151
27,1.0,1.0,655,104,Self-Employed,1,Married,Graduate,0.159
36,15.05,13.58,745,166,Self-Employed,0,Single,Post-Graduate,0.226
46,5.46,6.25,683,144,Self-Employed,2,Single,High School,0.123
22,14.57,17.23,737,37,Self-Employed,2,Single,Graduate,0.125
21,1.0,1.39,678,169,Salaried,1,Single,Graduate,0.174
32,23.14,16.14,739,89,Unemployed,3,Married,Post-Graduate,0.185
25,17.38,8.88,699,108,Self-Employed,0,Married,Post-Graduate,0.175
57,1.0,1.0,781,174,Salaried,2,Married,Graduate,0.203
52,1.0,1.0,618,86,Salaried,1,Married,Graduate,0.119
29,25.38,23.67,523,192,Self-Employed,2,Single,Post-Graduate,0.132
61,6.1,4.2,602,207,Salaried,0,Married,Graduate,0.13
55,5.33,1.67,806,127,Self-Employed,1,Married,High School,0.286
39,1.0,1.0,684,172,Salaried,1,Married,Graduate,0.135
36,9.19,9.81,709,81,Unemployed,0,Married,Post-Graduate,0.233
23,10.18,12.41,594,167,Salaried,1,Single,Graduate,0.074
40,17.72,14.01,706,213,Salaried,2,Married,Graduate,0.158
44,1.0,1.0,597,47,Self-Employed,0,Married,Post-Graduate,0.181
53,1.0,1.0,612,60,Salaried,1,Married,Graduate,0.147
44,15.61,18.74,659,229,Self-Employed,1,Married,Graduate,0.056
31,20.05,13.59,744,233,Salaried,0,Single,Graduate,0.144
28,1.0,1.08,755,225,Unemployed,0,Single,Post-Graduate,0.133
56,20.65,16.73,757,64,Salaried,2,Married,Post-Graduate,0.063
58,12.3,5.38,541,208,Salaried,1,Married,Graduate,0.128
60,20.73,25.18,699,141,Unemployed,1,Married,High School,0.09
40,11.44,2.49,680,236,Salaried,1,Married,Graduate,0.2
55,1.0,1.0,546,91,Unemployed,0,Married,Graduate,0.058
45,10.78,4.23,701,82,Self-Employed,2,Single,Graduate,0.178
55,20.48,3.97,674,203,Salaried,2,Married,Post-Graduate,0.174
45,4.85,3.9,751,32,Salaried,5,Single,Graduate,0.144
49,8.9,7.11,708,46,Salaried,1,Married,High School,0.23
38,10.59,11.54,645,185,Salaried,0,Single,Graduate,0.158
38,1.0,1.14,792,97,Salaried,1,Single,Graduate,0.202
22,25.37,28.39,477,126,Salaried,2,Single,High School,0.037
55,4.79,3.23,693,187,Unemployed,0,Single,Graduate,0.208
36,16.05,15.8,523,33,Salaried,3,Married,Graduate,0.105
61,11.31,10.27,608,145,Salaried,0,Single,Graduate,0.182
56,22.06,15.23,752,131,Salaried,1,Married,Graduate,0.227
53,15.25,14.28,572,172,Salaried,1,Single,Post-Graduate,0.121
24,10.12,14.43,557,50,Self-Employed,0,Single,Graduate,0.072
53,4.85,1.79,900,54,Salaried,0,Single,Graduate,0.285
34,18.38,25.15,564,164,Unemployed,2,Married,Graduate,0.017
41,1.0,1.0,865,157,Self-Employed,0,Married,Post-Graduate,0.243
40,17.17,9.13,682,52,Salaried,2,Married,Post-Graduate,0.194
28,3.21,1.62,647,139,Self-Employed,1,Single,Post-Graduate,0.142
27,22.02,21.51,756,129,Self-Employed,0,Single,Post-Graduate,0.165
23,13.29,3.77,833,46,Self-Employed,2,Married,Graduate,0.353
37,17.15,22.9,585,35,Salaried,1,Married,Graduate,0.139
53,12.66,15.95,648,194,Salaried,2,Married,Post-Graduate,0.148
32,1.0,1.01,784,115,Salaried,2,Married,Post-Graduate,0.156
42,5.11,3.79,728,51,Salaried,0,Married,Post-Graduate,0.209
42,17.38,24.44,810,98,Salaried,1,Married,Post-Graduate,0.184
50,13.33,16.84,751,236,Self-Employed,3,Married,Post-Graduate,0.123
58,21.45,17.14,880,40,Salaried,0,Married,Graduate,0.2
58,15.23,16.49,717,149,Salaried,3,Single,Graduate,0.128
65,4.27,3.82,722,90,Salaried,2,Married,Post-Graduate,0.139
28,5.63,5.2,732,149,Salaried,0,Married,Post-Graduate,0.208
47,12.82,7.22,685,229,Salaried,0,Single,Post-Graduate,0.141
47,1.0,1.0,784,75,Self-Employed,2,Married,High School,0.131
54,25.39,5.32,723,128,Unemployed,1,Married,Graduate,0.257
41,15.53,9.32,778,168,Salaried,0,Married,Graduate,0.166
50,21.82,23.44,794,109,Salaried,0,Married,Graduate,0.252
53,1.0,1.43,742,157,Self-Employed,1,Single,Graduate,0.136
48,21.96,31.8,750,141,Salaried,4,Single,Graduate,0.007
53,29.85,26.21,598,164,Salaried,0,Single,Post-Graduate,0.083
25,1.43,1.36,644,96,Salaried,0,Single,Graduate,0.182
39,18.17,6.54,784,62,Salaried,2,Married,Graduate,0.105
24,12.01,12.89,842,106,Self-Employed,0,Single,Graduate,0.282
55,1.0,1.0,505,33,Unemployed,2,Married,Graduate,0.022
37,15.94,7.95,643,20,Salaried,2,Married,High School,0.235
64,18.67,19.34,702,102,Salaried,1,Married,Post-Graduate,0.077
48,7.19,3.84,612,100,Salaried,1,Married,Graduate,0.083
50,21.33,3.62,617,100,Salaried,1,Single,Post-Graduate,0.16
49,1.0,1.26,747,230,Unemployed,3,Single,Graduate,0.229
26,1.0,1.0,858,85,Salaried,5,Single,Graduate,0.312
55,13.09,2.47,496,105,Salaried,0,Married,Graduate,0.068
61,12.2,2.5,682,134,Salaried,1,Single,Graduate,0.114
57,6.27,2.84,746,143,Salaried,0,Married,Graduate,0.291
44,18.48,6.45,778,160,Salaried,0,Married,Graduate,0.141
49,16.25,19.24,731,135,Salaried,2,Married,High School,0.082
51,18.87,10.39,876,41,Self-Employed,0,Married,Graduate,0.307
55,11.01,13.5,702,172,Salaried,0,Married,Graduate,0.116
53,16.82,5.78,831,54,Self-Employed,0,Single,Graduate,0.232
41,8.43,6.66,635,229,Self-Employed,3,Single,High School,0.0
52,28.43,30.23,705,13,Self-Employed,1,Married,High School,0.089
43,5.5,5.57,578,98,Salaried,1,Married,Post-Graduate,0.115
53,28.84,27.16,790,170,Self-Employed,2,Married,Post-Graduate,0.155
23,12.28,17.13,687,143,Self-Employed,3,Single,Graduate,0.03
38,1.0,1.0,735,58,Salaried,0,Married,High School,0.223
45,22.94,18.15,668,95,Self-Employed,0,Married,Post-Graduate,0.176
62,13.01,17.4,758,100,Salaried,1,Single,Graduate,0.056
51,18.81,3.93,739,56,Self-Employed,1,Married,High School,0.221
23,21.79,3.88,600,76,Salaried,1,Single,Graduate,0.081
60,14.7,6.27,606,205,Self-Employed,0,Single,High School,0.212
44,7.26,7.16,697,17,Salaried,0,Married,Post-Graduate,0.216
52,19.81,9.19,765,18,Salaried,0,Single,Graduate,0.24
42,12.01,4.4,886,190,Salaried,0,Married,Graduate,0.193
43,17.49,12.98,730,207,Salaried,0,Single,Graduate,0.123
22,1.0,1.0,800,29,Unemployed,1,Single,Post-Graduate,0.223
47,15.58,6.98,538,130,Salaried,0,Married,Graduate,0.177
62,6.89,3.59,900,52,Salaried,1,Married,Post-Graduate,0.309
22,25.23,24.2,760,118,Self-Employed,3,Single,Graduate,0.152
46,16.98,24.18,695,80,Salaried,0,Married,High School,0.118
37,13.92,14.54,683,36,Salaried,1,Single,Graduate,0.174
60,15.89,19.01,589,67,Salaried,1,Married,Post-Graduate,0.152
53,4.01,2.46,617,12,Self-Employed,2,Married,Graduate,0.043
29,24.99,12.02,891,237,Unemployed,1,Single,Graduate,0.28
63,27.93,20.56,601,194,Self-Employed,1,Single,Graduate,0.1
59,15.14,18.62,599,142,Unemployed,1,Married,Post-Graduate,0.079
49,24.72,18.26,629,65,Salaried,2,Married,Graduate,0.157
62,7.45,9.58,580,92,Unemployed,2,Single,Graduate,0.113
46,5.62,8.34,701,171,Salaried,0,Single,Post-Graduate,0.155
55,12.33,2.48,808,227,Salaried,1,Married,Graduate,0.215
45,15.48,2.53,638,141,Salaried,0,Married,Graduate,0.197
44,8.85,2.74,562,204,Salaried,2,Single,Graduate,0.069
33,16.3,10.4,729,237,Self-Employed,1,Married,Post-Graduate,0.174
27,14.45,4.1,694,19,Salaried,0,Married,Graduate,0.251
56,4.01,5.29,800,120,Self-Employed,3,Married,Graduate,0.131
65,16.15,2.14,654,197,Salaried,0,Married,Graduate,0.223
40,18.91,10.25,673,64,Salaried,0,Single,Graduate,0.22
21,13.37,4.79,685,55,Salaried,1,Single,Graduate,0.103
28,21.22,29.8,708,212,Salaried,1,Single,Graduate,0.0
36,2.26,2.34,660,39,Unemployed,2,Married,Post-Graduate,0.19
34,15.74,21.67,644,158,Self-Employed,1,Married,Graduate,0.001
32,2.64,3.86,514,195,Salaried,0,Married,Graduate,0.023
43,3.09,2.46,643,159,Salaried,1,Single,Graduate,0.097
35,6.95,2.97,771,210,Salaried,1,Married,Post-Graduate,0.188
48,4.46,1.66,785,195,Salaried,1,Married,Graduate,0.232
54,7.62,3.14,652,46,Self-Employed,1,Married,Graduate,0.224
22,10.29,11.24,829,158,Salaried,0,Single,Post-Graduate,0.185
52,18.7,2.93,697,220,Salaried,0,Single,Graduate,0.241
43,9.43,1.62,566,115,Self-Employed,2,Married,Graduate,0.141
42,1.0,1.0,534,74,Salaried,0,Married,Graduate,0.103
45,21.12,21.1,821,93,Self-Employed,1,Married,Post-Graduate,0.216
42,5.3,5.47,662,18,Self-Employed,1,Married,Graduate,0.145
42,11.53,7.16,578,166,Salaried,1,Single,Post-Graduate,0.09
62,15.57,19.12,474,50,Self-Employed,0,Married,Graduate,0.059
26,13.6,11.52,660,41,Self-Employed,0,Single,Graduate,0.098
35,20.75,5.14,740,34,Salaried,2,Married,Graduate,0.189
63,15.83,19.25,630,95,Salaried,1,Married,Graduate,0.115
57,5.11,7.33,594,162,Salaried,0,Single,Graduate,0.138
53,29.43,5.42,645,229,Unemployed,2,Married,Graduate,0.198
28,13.55,8.78,824,58,Salaried,2,Single,Graduate,0.213
64,10.82,8.47,560,217,Salaried,0,Married,High School,0.076
64,19.71,6.01,635,187,Salaried,0,Married,Graduate,0.095
25,14.0,18.41,821,106,Salaried,2,Single,Graduate,0.189
59,15.19,7.56,749,230,Salaried,1,Single,Graduate,0.139
24,31.94,38.21,717,74,Salaried,2,Single,Post-Graduate,0.028
26,9.8,10.19,635,131,Salaried,1,Married,Graduate,0.182
